,name,addr,tel,etc
78,신라식당,청주시 상당구 영운천로 153번길 36,5442869,백반
79,기사님식당,청주시 상당구 영운천로 153번길 36,5433729,청국장백반
80,보은누룽지백숙,청주시 상당구 영운천로 153번길 36,5423599,닭곰탕
81,한우명가목우원,청주시 상당구 영운천로 153번길 36,5543693,샤브불고기전골
82,소정마을,청주시 상당구 영운천로 153번길 36,7338841,황태구이백반
83,새강변가든 ,청주시 상당구 영운천로 153번길 36,7333678,인삼메기탕
84,옛장터숯불갈비,청주시 상당구 영운천로 153번길 36,7328992,가정식백반
85,과수원가든,청주시 상당구 영운천로 153번길 36,7320909,곤드레밥
86,배바우손두부,청주시 상당구 영운천로 153번길 36,7322137,올갱이두부전골
87,옥천해뜨는집가든,청주시 상당구 영운천로 153번길 36,7331780,돼지석갈비
88,지선생쌈촌,청주시 상당구 영운천로 153번길 36,7333292,"영양돌솥밥정식, 우렁쌈밥, 삼겹쌈밥"
89,힐링터,청주시 상당구 영운천로 153번길 36,7333329,청국장
90,토박이식당,청주시 상당구 영운천로 153번길 36,7323786,민물매운탕
91,보성복전문,청주시 상당구 영운천로 153번길 36,7434985,복매운탕
92,오아시스가든,청주시 상당구 영운천로 153번길 36,7448736,민물매운탕
93,사랑채,청주시 상당구 영운천로 153번길 36,7456004,순두부찌개
94,한천가든,청주시 상당구 영운천로 153번길 36,7425056,민물매운탕
95,장수식당,청주시 상당구 영운천로 153번길 36,7420177,청국장
96,소풍,청주시 상당구 영운천로 153번길 36,7443555,한우소고기버섯전골
97,황간휴게소(하행선),청주시 상당구 영운천로 153번길 36,7425805,호두비빔밥
98,함지박소머리국밥,청주시 상당구 영운천로 153번길 36,8365675,소머리국밥
99,본가,청주시 상당구 영운천로 153번길 36,8365545,갈비탕
100,향토식당,청주시 상당구 영운천로 153번길 36,8363060,자연산버섯찌개
101,산촌묵밥,청주시 상당구 영운천로 153번길 36,8381097,"연육, 도토리묵밥"
102,칠갑산가든,청주시 상당구 영운천로 153번길 36,8369881,"능이오리백숙, 자연산버섯찌개, 김치찌개, 된장찌개"
103,손두부촌 식당,청주시 상당구 영운천로 153번길 36,8368832,"두부전골, 청국장, 비지장, 순두부"
104,장금이손두부,청주시 상당구 영운천로 153번길 36,8388836,손두부찌개
105,미소정,청주시 상당구 영운천로 153번길 36,8387001,황태해장국
106,황제시래기 명태조림,청주시 상당구 영운천로 153번길 36,8388879,시래기명태조림
107,내고향집밥,청주시 상당구 영운천로 153번길 36,8382242,돌솥정식
108,청산가든,청주시 상당구 영운천로 153번길 36,5374878,간장게장
109,곰가내,청주시 상당구 영운천로 153번길 36,5320767,청국장
110,곤드레밥집,청주시 상당구 영운천로 153번길 36,5341080,곤드레밥정식
111,산골맛집,청주시 상당구 영운천로 153번길 36,5369509,영양돌솥밥정식
112,신궁전가든,청주시 상당구 영운천로 153번길 36,5372849,신궁전정식
113,한천마당,청주시 상당구 영운천로 153번길 36,5365000,화랑밥상
114,솔의향기,청주시 상당구 영운천로 153번길 36,5345236,황태두부찜
115,산마루가든,청주시 상당구 영운천로 153번길 36,5360629,불고기정식
116,은행나무집,청주시 상당구 영운천로 153번길 36,5345255,"김치찌개, 선지해장국, 유황오리진흥구이"
117,진천숯불고기,청주시 상당구 영운천로 153번길 36,5345492,"육개장, 갈비탕, 숯불고기, 고전솥밥, 냉면"
118,육미마을,청주시 상당구 영운천로 153번길 36,5366692,"제육쌈밥, 갈비탕, 불고기"
119,북촌곰탕,청주시 상당구 영운천로 153번길 36,5328200,"곰탕, 꼬리곰탕, 도가니탕"
120,태령산곤드레밥집,청주시 상당구 영운천로 153번길 36,5362232,곤드레밥
121,보림한우,청주시 상당구 영운천로 153번길 36,5373332,한우설렁탕
122,오리대가,청주시 상당구 영운천로 153번길 36,5355995,오리강황덮밥
123,소토골가든,청주시 상당구 영운천로 153번길 36,5329037,"오리백숙, 순두부"
124,두부촌,청주시 상당구 영운천로 153번길 36,5339946,"두부보쌈, 순두부"
125,제중한식촌,청주시 상당구 영운천로 153번길 36,8369261,청국장
126,일흥식당,청주시 상당구 영운천로 153번길 36,8367019,된장찌개
127,다래정,청주시 상당구 영운천로 153번길 36,8321246,자연산버섯전골
128,갱치,청주시 상당구 영운천로 153번길 36,8327850,한우곰탕
129,삼미순대,청주시 상당구 영운천로 153번길 36,8333289,"순대국밥, 순대전골, 순대볶음"
130,우천생고기,청주시 상당구 영운천로 153번길 36,8322472,"고추장주물럭, 자연산버섯찌개, 김치찌개"
131,괴산산막이매운탕,청주시 상당구 영운천로 153번길 36,8349116,메기매운탕
132,대림 ,청주시 상당구 영운천로 153번길 36,8733652,순두부찌개
133,이조갈비,청주시 상당구 영운천로 153번길 36,8777050,우렁쌈밥
134,코다리아저씨,청주시 상당구 영운천로 153번길 36,8733200,꼬다리찜
135,중원오리골,청주시 상당구 영운천로 153번길 36,8829252,"오리훈제영양솥밥, 오리보양탕, 오리백숙"
136,황톳골두부마을,청주시 상당구 영운천로 153번길 36,8729919,두부버섯전골
137,미담갈비탕,청주시 상당구 영운천로 153번길 36,8819900,갈비탕
